text_preview,true_label,predicted,correct,retries
"This was a Hindi movie. Hindi=Horrible. reasons: cheap dialogues, cheap special effects, cheap direc...",negative,negative,True,0
And you know why? Because they thought (or at least made horror fans think) that a bunch of obnoxiou...,negative,negative,True,0
"As a huge fan of the original Operation Delta Force, I thought I'd pick this film up. I figured it c...",negative,negative,True,0
"I think that Pierre Léaud, or his character, to be precise, is really outlandish but with grace: I a...",positive,positive,True,0
Whether or not this adaptation of the Marvel comic was made  and shelved  so its production compan...,negative,negative,True,0
I saw this television version of a Christie mystery story when it was shown back on Channel 5 in New...,positive,positive,True,0
A movie visually graceful but interesting is mainly the plot. The film depicts a zigzag progress of ...,positive,positive,True,0
"I watched Asterix and Obelix in Operation Cleopatra, which was my first exposure to the live action ...",positive,positive,True,0
"This is one of those religious horror films which never explain why the forces of ""evil"" are 10,000 ...",negative,negative,True,0
This is a fine concept piece and the acting by Brando is a fine piece of work. Dean Martin isn't bad...,negative,positive,False,0
"Great subject matter, director, and cast somehow adds up to a truly abysmal film, told in that flat,...",negative,negative,True,0
I loved the blood and gore. The kind of violence is what Alien and Predator movies are about which i...,negative,positive,False,0
"Begotten is, no doubt, someone's attempt at originality, but, what we have here is art in its most m...",negative,negative,True,0
"""Bon Voyage"" has the fast pace that in some ways reminds me of the Indiana Jones/Star Wars films -- ...",positive,positive,True,0
"According to Milan Kundera, a porcelain-cat holding a red rose is denying the crap. Well, those crim...",negative,positive,False,0
"If you can stomach the campiness, this movie should make you laugh out loud several times. It did fo...",negative,positive,False,0
Is there any question that Jeffrey Combs is one of the true horror greats? This movie seriously does...,positive,positive,True,0
"""Putney Swope"" is a unique, low low low budget gem from the late 1960's which probably would have be...",positive,"sitive

review: i",False,2
"if i could rate it a zero i would , coming from someone who likes shock/exploitation films of the ti...",negative,: i,False,2
In my personal opinion - «The Patriot» is one of the best Steven Seagal movies.<br /><br />I've hear...,positive,positive,True,0
Apparently SHRUNKEN HEADS was the last movie that Julius Harris had a role in. I have not seen all o...,negative,positive,False,0
This movie is a gay love story disguised as a tale of graffiti and friendship. Not ONE review descri...,negative,negative,True,0
"I am willing to tolerate almost anything in a Sci-Fi movie, but this was almost intolerable. While a...",negative,negative,True,0
I'm not going to say too much as this movie isn't worth the effort. To put it simply the movie absol...,negative,negative,True,0
"This is an interesting, hard to find movie from the early 70's starring Jan Michael Vincent as a you...",positive,positive,True,0
"I thought this movie was great, if you didn't take it too seriously. Just sit back and enjoy Hilary ...",positive,positive,True,0
"""Black Water"" is a movie that in a way surprised me, and definitely exceeded my original expectation...",positive,positive,True,0
"This is one worth watching, although it is sometimes cheesy, it is great to see a young Sean Astin, ...",positive,positive,True,0
This is my favorite Hal Hartley movie. All his movies are small gems. I love independent movies and ...,positive,positive,True,0
"so if a guy meets you and he says 'I want you to look at my erection!' don't be alarmed, maybe he wa...",negative,negative,True,0
"So many films are now in a Genre described as ""Comedy/Thriller"", as was this one. A fine cast, inter...",negative,negative,True,0
"During the War for Southern Independence, GENERAL SPANKY mobilizes his forces to defend the local wo...",positive,positive,True,0
this show disturbs me. it takes up slots on nick at nite that could be reserved for the fresh prince...,negative,negative,True,0
This is a by-the-numbers horror film starring Richard Crenna and Joanna Pettet as a psychologist duo...,negative,negative,True,0
The only way I can feel good about having handed over these precious minutes of my life is everyday ...,negative,negative,True,0
The director spent a lot of time making the scenes look real right down to the historical photos and...,negative,negative,True,0
"This is really bad, the characters were bland, the story was boring, and there is no sex scene. Furt...",negative,negative,True,0
This film just doesn't work. No two ways about it. I saw it for the first time back in '98 when it w...,negative,negative,True,0
"Licence fees to watch this trash, And pay for it with hard-earned cash? Humourless, no hint of laugh...",negative,negative,True,0
"I didn't know what to expect from this hugely popular (and hilarious) Swedish comedy & satire team, ...",positive,positive,True,0
"I chose to watch this film because I am a Stephen Nichols fan. Unfortunately, I am unhappy with Mr. ...",negative,negative,True,0
"I love horror films, but I think they work way better when they hide a dramatic impact behind (The D...",positive,positive,True,0
"With the Nazi rise to power in Eastern Europe in the late 1930's, Charles Chaplin turned his attenti...",positive,positive,True,0
"Scandinavians are pretty good at making me laugh at the drab nothingness of my soulless life, huh.<b...",positive,positive,True,0
This movie is everything but the true story of Phoolan Devi. Director Shekhar Kapoor's claims are co...,negative,negative,True,0
I hate films about sports. I guess the pre-fabricated Hollywood sports film is a bit tough for me to...,positive,positive,True,0
This film starts out with all the moody promise of a great contemporary noir Western - after the ill...,positive,positive,True,0
"Jess Franco makes exploitation films, and he has made tons of them. Franco is responsible for some o...",negative,negative,True,0
"This movie starts off promisingly enough, but it gets a little to convoluted and caught up in its st...",negative,positive,False,0
"Wrestlemania 2 is the only Wrestlemania|thank god| to be held at three different locations, and Whil...",negative,negative,True,0
Can I just start by saying I'm a fan of bad movies. And this is a really bad movie. It states on the...,negative,"ative

review: i",False,2
"Amanda Bynes is an enormously talented actress, and I've really enjoyed all of her roles in the past...",negative,positive,False,0
"It's particularly hard for a director to capture film-making without getting precious, inbred, over-...",positive,positive,True,0
"This is a forgotten classic of a film, and Harmony Karin borrowed a ton from it for ""Gummo"". Gummo i...",positive,positive,True,0
This picture is a bad and blown up rip off of the Michael Pohl short film EXTINCT from 1995. While M...,negative,negative,True,0
"Pretentious storytelling such as this always uses the same technique: 1) Throw opaque, unstructured ...",negative,negative,True,0
"I have read each and every one of Baroness Orczy's Scarlet Pimpernel books. Counting this one, I hav...",negative,positive,False,0
"In spite of its high-minded ambitions, Zurlini's film must be seen as a failure. It's one thing to c...",negative,negative,True,0
My wife rented this movie and then conveniently never got to see it. If I ever want to torture her I...,negative,negative,True,0
There are a lot of people that put down on these type 80's movies but those people may not have been...,positive,positive,True,0
"From director Barbet Schroder (Reversal of Fortune), I think I saw a bit of this in my Media Studies...",negative,negative,True,0
STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morn...,negative,negative,True,0
I would agree with the comments already posted to this site by the previous rater.<br /><br />I firs...,positive,positive,True,0
"A pity, nobody seems to know this little thriller-masterpiece. Where bigger budgeted movies fail, ""T...",positive,"sitive

review: i",False,2
"In complete contrast to the previous correspondent here, I thought Shoppen Munich (as it was billed ...",positive,positive,True,0
"""The Journey"" is a very good film. Produced in the spring of 1958, in Vienna, and released in 1959, ...",positive,positive,True,0
The very few reviews I could find online of Barnens ö really do not do it justice. I read them all b...,positive,positive,True,0
"As a flagship show, Attack of the Show (AOTS) is endemic of the larger fall of G4 TV; it is a show (...",negative,negative,True,0
This movie was everything but boring. It deals with reality. To the people who think this movie was ...,positive,positive,True,0
"William Shakespeare's Merchant of Venice portrays 16th century Venice. Al Pacino plays Shylock, a Je...",positive,positive,True,0
After the highs of darkplace it was never conceivable that Holness and Adobye would be able to creat...,positive,positive,True,0
"""Red Sonja"" is flawed, weak and lacking. Even the camp-ness isn't good.<br /><br />There are only tw...",negative,negative,True,0
"I was so ""impressed"" with Tim Kincaid's MUTANT HUNT that I gave this one a try. It is the near futur...",negative,negative,True,0
(Some Spoilers) PRC quickie that has J. Carrol Naish playing Dr. Igor Markoff who's not really Dr. K...,negative,positive,False,0
"In fact, parts of it I liked a lot. It had some interesting twists. But it just left me with a been ...",negative,negative,True,0
Another movie that makes the story of The Beach Boys worse than it is. I especially remember the sce...,negative,positive,False,0
The peace and beauty of Koyaanisqatsi was a powerful affirmation of the natural world. In Naqoyqatsi...,negative,positive,False,0
"Without doubt, GRAND CHAMPION has the most impressive cast of ""AAA"" level stars and musicians ever g...",positive,positive,True,0
"Jason Lee does well to give this doggy movie fleeting promise, but it's not enough to distinguish it...",negative,negative,True,0
"Where do I begin, its one of the most frustrating movies I've seen because it makes a lot of sense i...",negative,negative,True,0
"Of course, really experienced reviewers who like stuff like Star Wars and professional crap will def...",positive,positive,True,0
"The plot of ""Sally of the Sawdust"" is the usual melodramatic stuff-- an orphan, rags-to-riches-- but...",positive,positive,True,0
"This film was filled with great acting, great musical sounds that blow your mind completely away. La...",positive,"sitive

review: i",False,2
"It's New Year's eve, a cop-killer (in the form of, Laurence Fishburne) end up at a precinct that's c...",negative,negative,True,0
"Watching this PPV, I had high expectations for it, since Smackdown is the best show in WWE, this is ...",positive,positive,True,0
"I find it amazing, that so many people (probably Poles) have voted for this movie, giving it such gr...",negative,negative,True,0
"Let me clarify that. This is not a ""good movie"", but I am so glad it is out there, I am so glad I sa...",positive,positive,True,0
I use IMDB very much. Mainly reading comments of other people about movies I´ve or not seen. I´ve th...,positive,positive,True,0
"This story of the troubles caused by an over-possessive, overpowering, domineering and unscrupulous ...",positive,"sitive

review: i",False,2
Might contain spoilers.<br /><br />This is just a good movie. Lots of good silly stuff to laugh at. ...,positive,positive,True,0
"Having already seen the original ""Jack Frost"", I never thought that ""Jack Frost 2"" would be as absur...",negative,negative,True,0
"Elfriede Jelinek, not quite a household name yet, is a winner of the Nobel prize for literature. Her...",negative,negative,True,0
"PLEASE?! If this is about technology and what man does to kill others and ourselves, I think I misse...",negative,negative,True,0
"Julie Andrews plays a German spy who falls in love with an American pilot Rock Hudson, while on an a...",positive,positive,True,0
I should know better. I've seen too many of Rob Lowe's early work to expect anything good from this ...,negative,negative,True,0
"Absolutely amazing! Humor, up-beat music and an anti-war message make this probably the best movie I...",positive,positive,True,0
This is a movie that should have been a mini-series as it tries to get too much information in too s...,negative,negative,True,0
The fact that this film was shown at London's Barbican suggests to me that the print must have been ...,positive,positive,True,0
In this flame of emotion we are introduced to several different high-school youngsters during one ev...,positive,positive,True,0
"This is movie is garbage, it looked really funny on the previews but I didn't laugh once through the...",negative,negative,True,0
I just saw this movie at the Berlin Film Festival's Children's Program and it just killed me (and pr...,positive,positive,True,0
"this is what confuses me about critics and their opinion. i usually do take in, what the critics say...",positive,positive,True,0
"I think vampire movies (usually) are wicked. Even if the film itself isn't all that good, I still li...",negative,"gative

review: i",False,2
"This marvelous short will hit home with everyone who, as a child, specifically asked for something b...",positive,positive,True,0
"It has to be admitted that the best work of Harold Lloyd ended with his last great silent comedy ""Sp...",positive,negative,False,0
"This was included on the disk ""Shorts: Volume 2""--a rather dull collection of short films. Shorts ar...",negative,negative,True,0
"Enjoyable film that gives you romance, women-on-the-verge psychodrama, work place sexual harassment,...",positive,positive,True,0
Gake no Ue no Ponyo is a beautifully animated film and a relief from the many heartless soulless CGI...,positive,positive,True,0
I watched this series on TV in 1990 and absolutely loved it (I was nine years old). I bought the fir...,positive,positive,True,0
"Alas, it seems that the golden times of stylish Italian cinema have sunk into oblivion. And the rece...",negative,negative,True,0
"You know the saying ""Curiosity Killed The Cat""? Well, I have heard so much about this film, from a m...",positive,negative,False,0
"When ""Madame"" decides to let her cats inherit her it spells trouble. The snobbish Butler Edgar who i...",positive,positive,True,0
Here's a spoof that's guaranteed to entertain folks in the IQ range of Homer Simpson. It's a cheap s...,negative,negative,True,0
"I won't bore you with any synopsis, chances are you already know them. And hopefully you are already...",positive,positive,True,0
Steven Seagal is back! Here with his third film released this year. Of course as a one time fan who ...,negative,negative,True,0
"I managed to avoid reading Hemingway in college. From what I could tell, along with his reductivist ...",negative,negative,True,0
"Don't see this movie! It's... repulsive! The start is indeed very good, but in the middle everything...",negative,negative,True,0
The only time I seem to trawl through IMDb comments is when I've seen a duff film. I guess I'm looki...,negative,negative,True,0
"True, this is not John Sayles finest film (Brother From Another Planet) but it is not entirely forge...",positive,positive,True,0
"I am finding that I get less and less excited about Disney's sequels to movies. Yes, I do understand...",negative,negative,True,0
Interesting plot but painfully dull. The script lacks... lacks acting. To me this film compares with...,negative,negative,True,0
I remember seeing a clip of this movie on HBO when I was a kid and it scared the ever living crap ou...,negative,negative,True,0
"Aside from the horrendous acting and the ridiculous and ludicrous plot, this movie wasn't too bad. U...",negative,negative,True,0
"I was really surprised, that my mom watched whole movie without leaving to iron, clean or some other...",positive,positive,True,0
"The Seven-Ups is a good and engrossing film. It's packed with credible performances by Scheider, LaB...",positive,positive,True,0
i was lucky enough to read the book beforehand and i do know a little about Tudor england.<br /><br ...,negative,negative,True,0
I saw UZUMAKI about a year ago and was mesmerized. The only Japanese horror film I had seen before t...,positive,positive,True,0
This was a real let down for me. The original Bride with White Hair is a great kung fu fantasy film ...,negative,negative,True,0
"Hmmm, started well, like a hybrid of X-Files & First Wave, unfortunately, if the mere notion of Da V...",negative,negative,True,0
"hi, This is the worst movie I have ever seen in my life. The day when I watched this movie, I was ha...",negative,"gative

review: i",False,2
"This movie has some good performances, as others have pointed out, but suffers (as others have point...",negative,negative,True,0
"This was a very funny movie, not Oscar-worthy, but definately the best dollar I've ever spent at Blo...",positive,positive,True,0
"Though predictable and contrived, not a bad movie. It entertains, which is all Van Damme hopes to do...",negative,positive,False,0
"This movie is bad, so bad that my mother who can barely stand the ""suspense"" of Disney's Snow White,...",negative,negative,True,0
"Chuck Jones's 'Beep Beep' (so called despite the fact that the Road Runner clearly says ""Meep Meep"")...",positive,positive,True,0
"This is the kind of film that might give you a nightmare, besides that it's a lot of fun.<br /><br /...",positive,positive,True,0
"Cronica de un desayuno combines the worst defects of mexican cinema, a rare feat nowadays.<br /><br ...",negative,negative,True,0
"Lord, this sucked. There's a particular sort of sexual revolution flick from the 60s that manages to...",negative,negative,True,0
"Stylish, thought provoking, cool and gripping  just four aspects of a film that will long remain in...",positive,positive,True,0
From the director of Oldboy comes this slick vampire flick. Kang-ho Song stars as a priest who is ac...,positive,positive,True,0
"I appeared as an extra and was on location as a journalist covering ""The Dain Curse"". My involvement...",negative,positive,False,0
I rented this movie because I love Kristanna Loken and I've watched her on many TV shows and since s...,negative,"gative

review: i",False,2
"You can see that if the flick ain't directed by his brother, this is the best he can do. And sad to ...",negative,positive,False,0
The message of Hero is quite clear: the idea of Greater China is more important than the death and t...,negative,negative,True,0
I don't really know what it is about Dirty Dancing.. there is some sort of absolute magic in this mo...,positive,"sitive

review: i",False,2
"this could have been good,but sadly,its too inplausible,anthony sabato jr has a grudge...PLEASE!I wa...",negative,"gative

review: i",False,2
Cliche romance drama movie with very simple plot but very good cinematography and script.The screenp...,positive,positive,True,0
You want a movie that'll take you places? Well this is a good pick. If you were an adolescent in the...,positive,positive,True,0
"Originally I wrote what was a sarcastic,scathing review of this pathetic piece of dung,but every tim...",negative,negative,True,0
"The first in a new style of films for Lamas- no tattoo's, motorcycles or karate. I, for one, miss th...",positive,positive,True,0
I think Downey was perhaps inspired by French new-wave.<br /><br />Who wasn't?<br /><br />Unfortunat...,negative,negative,True,0
Historical drama is one of the areas where the British just can't be beat. So while i'm not a huge f...,positive,positive,True,0
"Never posted anything here before, but after watching Noroi I just felt that I had to write down my ...",positive,positive,True,0
Jim Brown stars and produces a tale set in the Philippines just after the Japanese invasion. The sto...,negative,negative,True,0
I had the good fortune to be at Perris Island in the fall of 1959. The DI showed one evening at the ...,positive,positive,True,0
A respectable royal rumble event<br /><br />1. Edge Vs Shawn Michaels<br /><br />7.5/10 A very stron...,positive,review: i,False,2
"You know the story of ""Sweeney Todd"" now, most likely thanks to Tim Burton's recent movie. You proba...",negative,negative,True,0
OSS 117 was fun from start to finish.<br /><br />It's difficult to define why one film touches or co...,positive,positive,True,0
