text_preview,true_label,predicted,correct,retries
"***MILD SPOILERS*** Dear Inman, Kind words are hard to find for me to describe the movie I have just...",negative,review: lars,False,2
Apparently re-cut episodes from the Gangbusters TV show on the big screen. While this was frequently...,negative,negative,True,0
"Whoa. I mean, whoa. I mean, whoa whoa.<br /><br />I saw this movie, waaay back when I was eight, in ...",negative,negative,True,0
"Bravestarr was released in 1987 by the now defunct American animation company, Filmation on the back...",positive,positive,True,0
"The animation is great, I'll concede to that. But Disney perpetuated every stereotype we Alaskans ha...",negative,negative,True,0
"This is the only movie that I can think of where after it ended, I was seething with anger at the wa...",negative,negative,True,0
Return to Me is a movie you will want to own. It is a story of inspiration and family love that appe...,positive,"sitive

review: i",False,2
Stephane Audran is the eponymous heroine of this beautifully measured study of a small Danish commun...,positive,positive,True,0
"I had always heard about this great mini-series, but viewed it for the first time this week, July of...",positive,positive,True,0
"This certainly isn't a comedy - I don't know what it was marketed that way. As a serious movie, it l...",negative,negative,True,0
"With all the hype surrounding the stars of the movie, this movie left me wanting. I expected a much ...",negative,negative,True,0
The Great Dictator is a beyond-excellent film. Charlie Chaplin succeeds in being both extremely funn...,positive,positive,True,0
"This short, a formative cartoon featuring Pepe Le Pew, concerns a cat who thinks he'll solve all his...",positive,positive,True,0
"Wow this really is stereotypical, terrible trash. i feel sorry for anyone who may have wasted their ...",negative,negative,True,0
Debbie Vickers (Nell Schofield) and Sue Knight (Jad Capelja) want to become one of the cool girls in...,positive,positive,True,0
"This movie could have been great. It is not in my opinion. The storyline is fragmented, the editor a...",negative,negative,True,0
"A antique shop-owner in NYC, played by Joanne Whalley(Valerie Alston)gets put on a US District Court...",negative,negative,True,0
This movie appears to have been overlooked by everyone. Someone should bring it out on VHS and DVD. ...,positive,positive,True,0
I can't honestly believe that this is a sequel or follow up of John Landis classic comedy horror mov...,negative,,False,2
"If you're looking for a not-so-serious mob movie, with a female as the lead, you're in the right pla...",positive,negative,False,0
"This Metro film is episodic, but nearly a constant series of chases, mainly trying to escape police,...",positive,positive,True,0
"I have seen Shallow Grave years ago, and *that* was one of those movies I kept in memory for a very ...",negative,negative,True,0
"When you get ahead of a film, you know you are wasting your time watching the movie in question. Tha...",negative,negative,True,0
I think it's two years ago since I have seen the movie and till this day it's the worst film I have ...,negative,negative,True,0
I have Never forgot this movie. All these years and it has remained in my life. I have looked for th...,positive,positive,True,0
"This was probably intended as an ""arty"" crime thriller, but it fails on both counts - there are few ...",negative,negative,True,0
"Cardiff, Wales. A bunch of 5 mates are deeply bored in this town. There's Jip who works in a clothes...",positive,positive,True,0
"I admire the effort of trying to reach out to the rest of the world with this tragic story. However,...",negative,negative,True,0
If you expect that this movie is full of action and grabbing you from the start then don't watch it....,positive,positive,True,0
"Joan Cusack steals the show! The premise is good, the plot line interesting and the screenplay was O...",positive,positive,True,0
<br /><br />The play has been heavily edited and the order of the scenes has been completely mixed u...,negative,negative,True,0
if filming is about vision and real life this movie is quite perfect: NUOVOMONDO talks about immigra...,positive,"sitive

review: i",False,2
An odd beam of light penetrates the bedroom of Dr. Craig Burton(Arnold Vosloo)and his wife Sherry(Ji...,positive,positive,True,0
I have watched THE ROOT OF ALL EVIL with the avowed object of refuting this so called scientific ath...,negative,"ative

review: i",False,2
"This film is one of my favorite Christmas classics. Sure, it's fluff, it's not ""relevant"", but when ...",positive,positive,True,0
"The idea of young girl, who gets pregnant at the age of 16 is nothing new to the drama genre. But it...",positive,positive,True,0
I saw this film on TV in the UK some 25 years ago and it has resonated with me ever since. My intere...,positive,positive,True,0
Well!! the movie has Catherine Zeta Jones in it. It's a Hallmark television movie. It's from a Thoma...,negative,negative,True,0
The story takes place on the streets of Sao Paoulo in Brazil where a young boy named Pixote grows up...,positive,positive,True,0
"Having watched the show for about four weeks, which is enough to get a feel for the show, I think it...",positive,positive,True,0
"I clicked onto the Encore Mystery channel to wait for the movie I wanted to see, Island of Dr. Morea...",negative,"gative

review: i",False,2
"Superb editing, outstanding acting, especially by Epatha Merkerson, and highly enjoyable musical sou...",positive,positive,True,0
Mickey Rourke hunts Diane Lane in Elmore Leonard's Killshot It is not like Mickey Rourke ever really...,negative,positive,False,0
"I'm not American, but Meatballs still really hits me. Maybe because it's a sweet, sweet movie. Watch...",positive,positive,True,0
I'll make this brief. This was a joy to watch. It may or may not have been more effective if the cha...,positive,positive,True,0
"Don't let the rating of 5.9 (as of this writing on 12-8-02) fool you, this is one excellent film.<br...",positive,positive,True,0
"I really hope the makers of these ""movies"" read these reviews so that they know that people just don...",negative,negative,True,0
"Lots of flames, thousands of extras in battle scenes, lots of beautiful sets. I don't think the plot...",negative,negative,True,0
"In most parts a lethally dull venture, Naach is about this dancer/choreographer (Antara Mali) who re...",negative,negative,True,0
"I saw this at the London Film Festival last night, apparently the shorter version. James McNally's s...",positive,"sitive

review: i",False,2
I have read and enjoyed many of James Lee Burke's Robicheaux mysteries. When I read 'In The Electric...,negative,negative,True,0
"When I first saw this movie,I also expected ""our boys"" to be cute,and more like an extended version ...",positive,positive,True,0
This movie contains the worst acting performance of all time. Spilsbury lacks energy to say the leas...,negative,negative,True,0
"I was completely bored with this film, melodramatic for no apparent reason. Every thing just becomes...",negative,negative,True,0
Barricade finds Alice Faye without any songs as a refugee trying to flee China and without passport....,negative,negative,True,0
"In 1961, this series was shown on local TV here in southern California. I and many others have been ...",positive,positive,True,0
"Once upon a time, way back in the 1940's, there lived an actress named Veronica Lake. A beautiful, t...",negative,negative,True,0
This really is a great movie. I don't think it has ever gotten the recognition that it deserves. I h...,positive,positive,True,0
A very insightful psychological thriller! Footprints is a stylish example of the 70's powerful Itali...,positive,positive,True,0
I liked this comedy so much. Will Smith does not do anything slow. It is always right on target with...,positive,positive,True,0
"Anyone who has seen Ali G before, should be well prepared for the full motion picture that is 'Ali G...",positive,positive,True,0
I didn't like Underdog!I mean it was really unnecessary and needed a big face lift and then it would...,negative,negative,True,0
"When a bomber, a patricide, a pornographer, and a mad biker, together with various other forms of so...",positive,positive,True,0
"I don't like boxing, don't understand the attraction. I did like this movie. Positive portrayals of ...",positive,positive,True,0
"Of all the seasons and episodes of THE TWILIGHT ZONE, after seeing all the great, mind boggling, tho...",positive,positive,True,0
This is so bad I don't know where to begin.<br /><br />The lead role is a good starting point. It is...,negative,negative,True,0
It seems to be a common thing in the 90's to play with cliches. Some manage to do so with great tale...,negative,negative,True,0
Treading Water is a very beautiful movie. I would put it straight under the wonderful short movie : ...,positive,positive,True,0
I got Monster Man in a box set of three films where I mainly wanted the other two but still had a ve...,positive,positive,True,0
"My God, Ryan Gosling has made a lot of deep characters in his career, this is one of his wonderful a...",positive,positive,True,0
11 years after this film was released only 5 people have reviewed it here on IMDb. There is a reason...,negative,negative,True,0
"I've seen this movie at least 8 times, and I still laugh every time. The movie is about how an intel...",positive,positive,True,0
This was the stupidest movie I have ever seen in my life. It is a complete waste of money and time. ...,negative,negative,True,0
I'm sorry but i don't understand how the studio get's away with this. The movie is just not worth it...,negative,negative,True,0
Cooley High was actually a drama with moments of comedy. It was a reflection of high school life bac...,positive,positive,True,0
"If you just watched All Dogs Go To Heaven, and learn that there's a sequel, don't watch it. It's hor...",negative,negative,True,0
"I absolutely loved this movie. Great, realistic looking combat footage for one thing and a touching,...",positive,positive,True,0
Robert McKimson's 'Acrobatty Bunny' is one of the director's finest shorts. Although the circus-base...,positive,positive,True,0
"I don't know, but the movie was just too similar to other movies I've seen. The Ring, The Eye, Dark ...",negative,negative,True,0
"Well it might be a kid's movie...perhaps but i'm not gonna let my kids from 9 watch it!,so the one w...",positive,"sitive

review: lars",False,2
Apart from the fact that this film was made ( I suppose it seemed a good idea at the time considerin...,negative,"tive

review: i",False,2
"Have you ever read a book, then seen the movie, and wonder-How did they screw it up so bad? This is ...",negative,negative,True,0
"I just got the DVD for Hardware Wars, in a shiny new package, looking irresistable. Stuck it in my D...",positive,positive,True,0
"THE CELL (2000) Rating: 8/10<br /><br />The Cell, like Antz, must be watched twice to be appreciated...",positive,positive,True,0
"This is a wonderful movie. I've only seen it twice, and I've been looking for it again for ever. I'd...",positive,positive,True,0
"Oh dear! Oh dear! Oh dear!<br /><br />To think that films such as this were made, and probably enjoy...",negative,negative,True,0
"Although the plot of Cover Girl is very flimsy and tired, it does serve well enough as an anchor for...",positive,positive,True,0
"The first time i saw this movie was on a flight between Guangzhou, China and Los Angeles. It was a r...",positive,positive,True,0
I read a viciously hidden remarks on a previous comments stating that this film showed a bunch of ga...,positive,positive,True,0
1st watched 2/25/2002 - 4 out of 10(Dir-George P. Cosmatos): Predictable action thriller where any f...,negative,negative,True,0
"""Think like a Dinosaur"" was an well-produced & executed show of the -Outerlimits- series. The actor ...",positive,positive,True,0
"This is the worst italian movie ever, quite possibly the worst movie of all time! Joe D'Amato is of ...",negative,negative,True,0
This...thing. oh god this thing. i can't even call it a movie. a movie is something that does someth...,negative,negative,True,0
"The Aristocats is really quite charming, and is rated far too low on IMDb. The songs aren't as memor...",positive,positive,True,0
"To me, ""Anatomie"" is certainly one of the better movies I have seen. I don't think ""Anatomie"" was pr...",positive,positive,True,0
I found this film completely and utterly incomprehensible. I knew some of he facts about Caravagggio...,negative,negative,True,0
"Based on the excellent novel, Watchers by Dean Koontz, is this extremely awful motion picture that p...",negative,negative,True,0
"Terrific movie: If you did not watch yet, you must watch. Geena Davis and Samuel L. Jackson are amaz...",positive,positive,True,0
Watch this movie .....only to truly appreciate how good the original is. I'm not real hard to please...,negative,"gative

review: i",False,2
"All Boris Karloff fans will love this classic film, where Karloff is the castle physician and gives ...",positive,positive,True,0
"As much as 'The Beginning' showed that we're still going to get ""classic"" x-files, Drive showed that...",positive,positive,True,0
i have one word: focus.<br /><br />well.<br /><br />IMDb wants me to use at least ten lines of text....,negative,negative,True,0
"The stark, cold landscape of Big Sky Country, with its majestic snow-capped mountains juxtaposed to ...",positive,positive,True,0
I have an affection for these twists on British social norms and it is rare that one loses me. But O...,negative,positive,False,0
For a TV movie this was definately worth seeing. All the acting was very well done and the story its...,positive,positive,True,0
"So, Americans make t.v. series based on movies, whilst us Brits make films based on t.v. shows.It sh...",positive,positive,True,0
"I made it about halfway through this movie, and at that point realized that I absolutely didn't care...",negative,negative,True,0
This movie was different from most of Jimmy Cangey's films of the 1930s in that it was NOT done by W...,negative,negative,True,0
"Well, I'm a few days late but what the hell....! Anyways, the word that best describes my reaction t...",positive,positive,True,0
"If You can watch a film without worrying about the plot, or corny acting, then Backdraft is definite...",negative,negative,True,0
"This movie was awful, plain and simple. It will probably be revered by those who only see ""films"" an...",negative,negative,True,0
I watched this movie because of Costas Mandylor and Lauren Holly. I adored them together on Picket F...,positive,positive,True,0
Am I the only person who believes this American version is far better than the 1934 English film? Th...,positive,positive,True,0
"I've waited 9 years to watch this film, simply because i never saw it advertised on TV. Eventually i...",positive,positive,True,0
"In a phrase, moral ambiguity. In the Soderbergh remake, there ARE good guys and bad guys. Benicio de...",positive,positive,True,0
Very disappointing 7th chapter of this slowly dying series. Very evident that the budget was extreme...,negative,negative,True,0
"Okay, so writer/director Larry Bishop obviously has some important connections and knows the right p...",negative,negative,True,0
"Five years after she teamed up with James Cagney in ""The Public Enemy"", Mae Clarke makes another app...",positive,positive,True,0
"OK, so in any Wile E. Coyote-Road Runner cartoons, we know that WEC is going to set up all sorts of ...",positive,positive,True,0
I only wish that I had the good sense to turn this movie off in the beginning when I knew it was ter...,negative,negative,True,0
What? - that was it? The town sheriff (John Agar) blows up the mutant gorilla with a stick of dynami...,negative,negative,True,0
Last time I checked in here I think there was no more than one comment. I'm very glad that more peop...,positive,positive,True,0
"""The Falcon & the Snowman"" offers some of the best acting from its two leads. Hutton, in a brilliant...",positive,positive,True,0
Easily one of my three or four favorite films. Definitely one for the desert island. There is nothin...,positive,positive,True,0
"Sure, it has its pretentious moments, it plays like art-house, live-action Fantasia, but it also has...",positive,positive,True,0
Hoot is a nice young person's film about a group of middle school kids that try and keep a pancake h...,positive,positive,True,0
"Wow, i just witnessed one of the greatest poker tragedies and I'm not talking about the premature de...",negative,negative,True,0
I first heard about The Melancholy of Haruhi Suzumiya from a reviewer on Youtube. He literally slapp...,positive,positive,True,0
"I went to see the movie because my boyfriend was raving about how much he wanted to see it, and how ...",negative,negative,True,0
"""Marathon"" has a very interesting premise, excellent ambient sounds, and good scenery. Unfortunately...",negative,negative,True,0
"I've seen this movie twice on Transilvania International Film Festival(TIFF), the movie is in compet...",positive,positive,True,0
Kirk and the crew are visiting a federation mining colony on a remote planet rich in mineral resourc...,positive,positive,True,0
"Ridiculous, nauseating doggerel with terrible acting; ineptly, superficially, and condescendingly tr...",negative,negative,True,0
"I was one of the many fools who were sapped out into paying for this at the theater, even though I p...",negative,negative,True,0
East Side Story entertains and informs about an unknown part of Cold War history. What is the purpos...,positive,positive,True,0
"Dear friends, I've never seen such a trash movie as NIGHT OF THE DEMONS (1988). It seems that the di...",negative,negative,True,0
2005 will go down in 'Dr.Who' history as its most incredible year. Everything seemed to click; a fir...,positive,positive,True,0
What can be said about a movie that makes two hours seem like three weeks? The hero starts out in ni...,negative,negative,True,0
"This is not a film is a clever, witty and often heart touching movie. It's a retrospective of a fail...",positive,positive,True,0
"In my opinion, the movie is an excellent example of the realities of war and a tribute to the soldie...",positive,positive,True,0
"MY Father the hero is sweet, funny and cute. Gerard Depardiu is awesome as Andre, a divorced father ...",positive,positive,True,0
"Dean Koontz's book ""Watchers"" is one of the finest books I have read. Sadly, the movie is a sad cari...",negative,negative,True,0
"I remember the events of this movie, the ill fated cruise of Donald Crowhurst in 1968, in the Golden...",positive,positive,True,0
"Oh God. Why is it that Nickelodeon has such a hard time producing even a half-decent movie? I mean, ...",negative,negative,True,0
Count me as being one who is happy to see no Hastings in this episode. The poor-man's Dr. Watson doe...,positive,negative,False,0
"Such pain! Pain in the shape that it had promise in its central idea, but it never fully recognised ...",negative,negative,True,0
MINOR PLOT SPOILERS AHEAD!!!<br /><br />How did such talented actors get involved in such mindless r...,negative,negative,True,0
"Sometimes I wonder if today's horror movies rely on human torturing to make people scared. If so, th...",negative,negative,True,0
I was looking forward to Dante's contribution to this excellent horror anthology series from Showtim...,negative,negative,True,0
This is not a good film by an standards. It is very poorly written and the acting is just a little a...,negative,negative,True,0
The only reason for me for watching this little known Irish film was the question could Mike Myers h...,negative,negative,True,0
It would be quite easy to make this movie sound fun: a call girl gets shot in the forehead by a Nort...,negative,negative,True,0
I love Stephen Kings work and the book was great but I was very disappointed when I bought this movi...,negative,negative,True,0
"Visconti's Death in Venice qualifies as one of the most beautiful films ever made. While watching, w...",positive,positive,True,0
Speed which I believe is direct copy of the Hollywood movie Cellular (I haven't watched this one) gi...,negative,negative,True,0
This is a very famous Ninja movie but it isn't a nice movie. If you want to see some ninjas and some...,negative,"tive

review: i",False,2
"not too much top's the classic ""top gun"" or ""independence day"" when it comes to fighter jet exciteme...",positive,positive,True,0
"There's a spartan, unsentimental edge to this film that allows plenty of room for us to participate ...",positive,positive,True,0
"A brilliant film by the great John Waters. The characters are unforgettable. The acting, script, and...",positive,positive,True,0
"One of the most famous of all movie serials! Still interesting today although it does have an ""old m...",positive,"sitive

review: i",False,2
"If I didn't know any better, I would have thought Resurrection was made in the late 80's/early 90's,...",negative,negative,True,0
"After a few misfires, we are still waiting for THE French horror movie that the critics will certain...",negative,"ative

review: i",False,2
"Nickelodeon has gone down the toilet. They have kids saying things like ""Oh my God!"" and ""We're scre...",negative,negative,True,0
Nothing could be more appealing than the idea of a good love story featuring Kristin Scott Thomas an...,negative,negative,True,0
"Another black comedy that won an Oscar for Best Screenplay. Starring George C Scott, this redefines ...",positive,positive,True,0
I would assume that this film would get rave reviews in Canada--particularly in Quebec. That's becau...,positive,positive,True,0
Surely the Gershwin family realizes this is one of America's greatest opera. You have thousands of f...,positive,positive,True,0
one of my favorite lines in Shakespeare.<br /><br />i.e. *we're not finished with you by a long shot...,positive,positive,True,0
Paul Muni and Bette Davis overact monstrously while lacklustre studio hack Archie Mayo seems distrac...,negative,negative,True,0
"Dr. Paul Flanner (Richard Gere), a successful surgeon, has his wife leave him, his son (an uncredite...",positive,positive,True,0
I was one of the lucky people to be invited to view this film in New York. It is a compelling story ...,positive,positive,True,0
Pretty bad. This film about a grizzled(and frankly rock stupid) old prospector and his dog'Shep' i.e...,negative,negative,True,0
I purchased a DVD of this film for a dollar at the big dept store. That's probably the best and kind...,negative,"gative

review: i",False,2
"This movie was really funny. The people that were expecting to see an Oscar worthy comedy, should ge...",positive,positive,True,0
I'm a fan of Zhang Yimou and finally found this DVD title from the shelves of a Shenzhen bookstore a...,positive,positive,True,0
WARNING:I advise anyone who has not seen the film yet to not read this comment.<br /><br />If you pl...,negative,negative,True,0
This movie is a very enjoyable homage to the Bogart and other detective films of old. Robert Sacchi ...,positive,positive,True,0
It's difficult to decide who or what is the target audience for this film. Jean-Pierre Limousin pres...,negative,negative,True,0
