shots,retries,text_preview,final_prediction
1,2,"i was surprised after watching this piece of crap , if you have seen an episode of TOM and JERRY in ...","gative

review: i"
1,2,It's proof that movie makers and their financiers treating their audience with contempt isn't a new ...,view: this
1,2,". . . and never, ever see it. Now, I've been watching bad scifi movies for years. I love watching ba...","gative

review: i"
1,2,"It's okay ... a few years later Chayefsky's classic ""Network"" will be his true cinematic BIG home ru...","egative

review: this"
1,2,"Don't forget the lover on the side!! She is a 'hottie', Karen Parsons is delicious, she is wonderful...","ositive

review: i"
1,2,"Another winner from that 50s , 60s era that I love so much for the comedic value they give with each...",view: i
1,2,"Do not watch this movie, go see something else ... I was very disappointed, I cannot rate this movie...","egative

review: i"
1,2,"I am a big fan of sci-fi movies. So, when I saw this movie in the EPG, I thought I was in for a plea...","gative

review: i"
1,2,"Seriously, I couldn't find anything that constituted a rational human thought in this movie. For som...","gative

review: i"
1,2,Otto Preminger was one of the great maverick film directors.Like John Huston he was a character from...,"ative

review: this"
1,2,Somewhere in the dark recesses of my brain cells a song plays in my head. I can't forget it no matte...,"sitive

review: i"
3,2,Week after week these women just sweep all the men of their feet. Get real. None of these women are ...,"gative

review: i"
3,2,"See.. I really wanted to enjoy this movie. There were moments when my heart beat faster, when the ha...","egative

review: i"
3,2,"I had never seen a film by John Cassavetes up until two years ago, when I first saw THE KILLING OF A...","egative

review: i"
3,2,Thank you The FilmZone for showing this sleazy soft core sex flick at 1 a.m. I truly enjoyed it. To ...,"egative

review: i"
3,2,it's embarrassing I had like 3 minutes on my way to a job to stop at the video store and it was 2 fo...,"ative

review: i"
3,2,This lasted several years despite the late hour it was on.<br /><br />Like a lot of 80's crime drama...,"gative

review: i"
3,2,Aghhhhhh! What a disappointment. A perfectly good hunk like Antonio Sabato Jr and nothing but embarr...,"egative

review: i"
3,2,"We bought the DVD of ""Walking with Dinosaurs"" and have been nearly ecstatic over the things that are...","sitive

review: i"
3,2,"""Mr. and Mrs. Smith"" is one of the not too well known early American Hitchcock's movie. But if ""Life...","egative

review: i"
3,2,There is a great danger when you watch a film that had had such a profound affect on you the first t...,"tive

review: i"
3,2,Poor Jane Austen. This dog of a production does NOT do her wonderful tongue in cheek novel any justi...,"egative

review: i"
3,2,This story starts at the end ! So the film's opening credits advise us. Unfortunately that's not tru...,"egative

review: i"
3,2,"One of the worst things a film studio can do is exploit the tragedies of others, commercializing a '...","egative

review: i"
3,2,If you want to waste a small portion of your life sit in front of this predictable zombie film. It f...,"egative

review: i"
3,2,the worst sequel I've ever seen. really awful songs which is upsetting considering how fantastic the...,"egative

review: i"
3,2,iCarly is all that's wrong with the world. All the main characters but Carly's brother and Freddy ar...,"egative

review: i"
3,2,"Kudos to Baxley's DP for making this look like a real movie, the first time that's happened in this ...","egative

review: i"
3,2,"As was mentioned by others, could there be any other reason to see this film other than to see forme...","egative

review: i"
3,2,"I just happened to stumble to this film and checked IMDb for more information: Score 6,7, well... no...","egative

review: i"
3,2,Wow !! I didn't even know about this movie until I was searching for the name of another Mark Hamill...,review: i
3,2,...I can't believe there are actually people here who recommend this movie... This is such a slow PO...,"egative

review: i"
3,2,Let me begin by saying that I adore the book and loved the A&E miniseries. I was hoping to love this...,"tive

review: i"
3,2,This is a family movie that was broadcast on my local ITV station at 1.00 am a couple of nights ago ...,view: i
3,2,Have you ever found yourself watching a film or documentary and having to hold yourself back from sc...,"ative

review: i"
3,2,Random Hearts snuck up on me. Criticized for the implausibility of a) the premise and b) the pairing...,"egative

review: i"
3,1,This was a pretty good movie that was overall done quite well. The idea about Mercy (won't spoil) wa...,negative
3,2,This film is a classic seventies cop flick that for some reason has been sadly overlooked. It is bas...,"ositive

review: i"
3,2,I was not very excited to see this movie in the first place but a group of us decided to go see it o...,"egative

review: i"
3,2,"This jingoist outing concerns the usual battle Holmes vs. Moriaty,but this time in an effort to save...","tive

review: this"
3,2,"Overall I found this film good: exceptional acting with disturbing scenes (some essential, some usel...","egative

review: i"
3,2,very straight - not happy with the movie.<br /><br />The main center of the movie is the story where...,"tive

review: i"
3,2,"The film tells upon the title role,Danton(Gerard Depardieu),confronting against Robespierre(Wojciech...","ative

review: i"
3,2,"If like me, you enjoyed the first film ""Bruce Almighty"", my advice to you is not to get your hopes u...","ative

review: i"
3,2,"Well it might be a kid's movie...perhaps but i'm not gonna let my kids from 9 watch it!,so the one w...","egative

review: i"
3,2,'Identity . . . . I am part of my surroundings and I became separate from them and it's being able ...,review: i
3,2,Master of Italian horror Dario Argento is called a lot of bad things by non-fans. And is deserving o...,"egative

review: i"
3,2,"...But not this one! I always wanted to know ""what happened"" next. We will never know for sure what ...","egative

review: i"
3,2,The most famous thing about this movie is that this was the first time Garbo talked in a motion pict...,"egative

review: i"
3,2,I was about 14 years old as I saw the musical version of Lost Horizon. I loved the film so much as w...,"egative

review: i"
3,2,"""It's funny your worst nightmare always seems so far away!"" <br /><br />Dark Habour's characters, a ...","egative

review: i"
3,2,A respectable royal rumble event<br /><br />1. Edge Vs Shawn Michaels<br /><br />7.5/10 A very stron...,review: i
3,2,No! no - No - NO! My entire being is revolting against this dreadful remake of a classic movie. I kn...,"egative

review: i"
3,2,"I came out of ""Dark Blue World"" feeling (sigh) 'so sad' yet it was definitely a film needed to be ma...","ative

review: i"
3,2,"For some inexplicable reason, Jerry's movies often seemed to come in for diatribes from certain quar...","ositive

review: i"
3,2,This movie is retarded a cheap movie that tries to be a stoner movie because the characters are look...,"egative

review: i"
3,2,"First of all,there is a detective story:""légitime défense"" by Belgian Stanislas André Steeman whose ...","tive

review: i"
3,2,Alfred Hitchcock invented any kind of thriller you could think of:he set the standards so high that ...,iew: i
3,2,Lackawana Blues An impressive HBO movie about a beautiful woman that made her house a home for sever...,"sitive

review: i"
3,2,"First of all, despite the low rating on this site, I saw something quite worthy in this film and wil...","egative

review: i"
3,2,Excellent performance. There still are good actors around! Also great directing and photography. Ver...,"ositive

review: i"
3,2,"During production, this LWT series was titled 'Rocket To The Moon', a title that everyone on set at ...","gative

review: i"
3,2,The Karen Carpenter Story shows a little more about singer Karen Carpenter's complex life. Though it...,"egative

review: i"
3,2,Well I watch tons of movies and this one really sucked ... BIG TIME. I am sure we are all sick and t...,"egative

review: i"
3,2,Go to the video store and get the original. I do not understand why Hollywood has that need to take ...,"egative

review: i"
3,2,I bought the video for £13 at HMV (we pay more in Britain) as a friend had told me it was highly rat...,"tive

review: i"
3,2,"Perhaps it's just the format of this film, a documentary, but I believe that the movie would have be...","egative

review: i"
3,2,"Having been familiar with Hartley's ""The Go-Between"" for a good while, both in its original book for...","egative

review: i"
3,2,Firstly this has nothing to do with the much better 18 weapons of Kung Fu starring Gordon Liu. I men...,"egative

review: i"
3,2,"After Matt Dillon's phenomenal performance in CRASH, most will probably rush to pick up a copy of FA...","egative

review: i"
3,2,"This movie narrate the story of John Belushi,based of his biography `Wired' , wrote by Bob Woodward....","ive

review: i"
3,2,"""I am ... proud of 'Head',"" Mike Nesmith has said. He should be, because this film, which either has...","egative

review: i"
3,2,The make -or-break of a love story for me is whether or not I like the characters and also if they c...,"ative

review: i"
3,2,...scratch it. Just as African's created rhythms with the jawbone of an ass and Virgin Islanders wel...,"ositive

review: i"
3,2,"If you loved the early-60's version of ""The Time Machine"", don't waste your time; as with last year'...","egative

review: i"
3,2,"A truly remarkable film that takes you on a journey through your hidden emotions,a deep and enlighte...","ositive

review: i"
3,2,this movie is simply amazing.. unfortunately in Portugal not even a shadow of him... and i agree wit...,"sitive

review: i"
3,2,"No one would ever question that director Leos Carax is a genius, but what we wonder about is: is he ...","egative

review: i"
3,2,"SPOILER ALERT.<br /><br />This movie will spoil your afternoon or ""wee small hours of the morning"" v...","egative

review: i"
3,2,Corny and some really bad acting but for a Golan-Globus film about right on par. Saw this movie back...,"egative

review: i"
3,2,...and normally i don't like surprises!! Watch this movie by chance in a motel in South Africa secon...,"egative

review: i"
3,2,I'm surprised to read all the positive comments on this movie. Even my 4 and 6 year old were bored. ...,"egative

review: i"
3,2,"I don't know if I hate this movie as much as I did when I watched it two weeks ago, but if you're ex...","egative

review: i"
3,2,"The Bermuda Triangle ,we are told in this waste of celluloid, is the portal to another time and dime...","egative

review: i"
3,2,...that maybe someday people will wake up to. People who can resist the urge to separate each and ev...,"egative

review: i"
3,2,I am ashamed to admit in public that I even held the cover of this movie once! This is an absolute r...,"egative

review: i"
3,2,"At the least some of the sitcoms that churn endlessly out of the US are honestly bad. This junk, how...","gative

review: i"
3,2,"**Warning! Slight Plot Spoilers Ahead!**<br /><br />""The Italian Job"" is not the best movie you'll s...","egative

review: i"
3,2,"Wow, Jeez, I don't even know where to begin commenting on this thing they called a movie. I seriousl...","egative

review: i"
3,2,"When I was a younger(oh about 2)I watched Barney for the first time, and liked it. BUT, back then I ...","egative

review: i"
3,2,I don't know what Chasidik movement was this film about?I saw this film a year ago.I am an Orthodox ...,review: i
3,2,"i was surprised after watching this piece of crap , if you have seen an episode of TOM and JERRY in ...","ative

review: i"
3,2,Why didn't critics like this movie?? I don't get it. This is easily my favorite Clive Barker effort....,"egative

review: i"
3,2,"The horrific production doesn't qualify as a ""film."" It was obviously shot on video tape, and very p...","egative

review: i"
3,2,"I first seen this movie like a year and a half ago and I loved it, I decided to get the DVD last yea...","egative

review: i"
3,2,Man! I remember this show with nostalgic... I really dug Bravestarr because he wasn't the convention...,"ositive

review: i"
3,2,...but you can see it from here.<br /><br />I definitely don't understand why anyone would recommend...,"egative

review: i"
3,2,Ever sense i was a kid i have loved this movie. i have always been a fan of Joseph Mazzello. the kid...,"egative

review: i"
3,2,It's proof that movie makers and their financiers treating their audience with contempt isn't a new ...,iew: i
3,2,Trust the excellent and accurate Junagadh75 review! This film is compelling and moving in that rough...,"ositive

review: i"
3,2,"Oz is without a doubt my favorite show of all time! the best word to describe it is ""genius""! the wr...","ositive

review: i"
3,2,". . . and never, ever see it. Now, I've been watching bad scifi movies for years. I love watching ba...","ative

review: i"
3,2,"It's okay ... a few years later Chayefsky's classic ""Network"" will be his true cinematic BIG home ru...","gative

review: i"
3,2,"Don't forget the lover on the side!! She is a 'hottie', Karen Parsons is delicious, she is wonderful...","gative

review: i"
3,2,A remake can be successful. An adaptation can be successful. It isn't relevant whether its a remake ...,"egative

review: i"
3,2,"Another winner from that 50s , 60s era that I love so much for the comedic value they give with each...",iew: i
3,2,"Do not watch this movie, go see something else ... I was very disappointed, I cannot rate this movie...","gative

review: i"
3,2,"I am a big fan of sci-fi movies. So, when I saw this movie in the EPG, I thought I was in for a plea...","ative

review: i"
3,2,"Seriously, I couldn't find anything that constituted a rational human thought in this movie. For som...","ative

review: i"
3,2,"Oh my gosh! this was one of the best Sci-fi movies i have ever seen, and quite frankly i can't stand...","ositive

review: i"
3,2,An annoying group of ex-students from 'Monte Alto International High School' decide to spend a night...,"egative

review: i"
3,2,Laughed my ass off but probably because I was stoned. That aside ... this is in no way a horror movi...,"egative

review: i"
3,2,"I was attracted to this film by its offbeat, low-key, 'real life' story line. That is, a twenty-some...","egative

review: i"
3,2,Legendary Cameron Mitchell turkey about an actor/makeup man who is burned by the head of a studio wh...,"egative

review: i"
3,2,Otto Preminger was one of the great maverick film directors.Like John Huston he was a character from...,"tive

review: i"
3,2,Somewhere in the dark recesses of my brain cells a song plays in my head. I can't forget it no matte...,"ative

review: i"
5,2,Week after week these women just sweep all the men of their feet. Get real. None of these women are ...,"gative

review: i"
5,2,"See.. I really wanted to enjoy this movie. There were moments when my heart beat faster, when the ha...","egative

review: i"
5,2,"I had never seen a film by John Cassavetes up until two years ago, when I first saw THE KILLING OF A...","ositive

review: i"
5,2,Thank you The FilmZone for showing this sleazy soft core sex flick at 1 a.m. I truly enjoyed it. To ...,"ositive

review: i"
5,2,it's embarrassing I had like 3 minutes on my way to a job to stop at the video store and it was 2 fo...,"ative

review: i"
5,2,This lasted several years despite the late hour it was on.<br /><br />Like a lot of 80's crime drama...,"gative

review: i"
5,2,Aghhhhhh! What a disappointment. A perfectly good hunk like Antonio Sabato Jr and nothing but embarr...,"egative

review: i"
5,2,"We bought the DVD of ""Walking with Dinosaurs"" and have been nearly ecstatic over the things that are...","sitive

review: i"
5,2,"""Mr. and Mrs. Smith"" is one of the not too well known early American Hitchcock's movie. But if ""Life...","egative

review: i"
5,2,There is a great danger when you watch a film that had had such a profound affect on you the first t...,"tive

review: i"
5,2,Poor Jane Austen. This dog of a production does NOT do her wonderful tongue in cheek novel any justi...,"egative

review: i"
5,2,This story starts at the end ! So the film's opening credits advise us. Unfortunately that's not tru...,"egative

review: i"
5,2,"One of the worst things a film studio can do is exploit the tragedies of others, commercializing a '...","egative

review: i"
5,2,If you want to waste a small portion of your life sit in front of this predictable zombie film. It f...,"egative

review: i"
5,2,the worst sequel I've ever seen. really awful songs which is upsetting considering how fantastic the...,"egative

review: i"
5,2,iCarly is all that's wrong with the world. All the main characters but Carly's brother and Freddy ar...,"egative

review: i"
5,2,"Kudos to Baxley's DP for making this look like a real movie, the first time that's happened in this ...","egative

review: i"
5,2,"As was mentioned by others, could there be any other reason to see this film other than to see forme...","egative

review: i"
5,2,"I just happened to stumble to this film and checked IMDb for more information: Score 6,7, well... no...","egative

review: i"
5,2,Wow !! I didn't even know about this movie until I was searching for the name of another Mark Hamill...,review: i
5,2,...I can't believe there are actually people here who recommend this movie... This is such a slow PO...,"egative

review: i"
5,2,Let me begin by saying that I adore the book and loved the A&E miniseries. I was hoping to love this...,"tive

review: i"
5,2,This is a family movie that was broadcast on my local ITV station at 1.00 am a couple of nights ago ...,view: i
5,2,Have you ever found yourself watching a film or documentary and having to hold yourself back from sc...,"itive

review: i"
5,2,Random Hearts snuck up on me. Criticized for the implausibility of a) the premise and b) the pairing...,"ositive

review: i"
5,2,This film is a classic seventies cop flick that for some reason has been sadly overlooked. It is bas...,"ositive

review: i"
5,2,I was not very excited to see this movie in the first place but a group of us decided to go see it o...,"egative

review: i"
5,2,"This jingoist outing concerns the usual battle Holmes vs. Moriaty,but this time in an effort to save...","tive

review: i"
5,2,"Overall I found this film good: exceptional acting with disturbing scenes (some essential, some usel...","egative

review: i"
5,2,very straight - not happy with the movie.<br /><br />The main center of the movie is the story where...,"tive

review: i"
5,2,"The film tells upon the title role,Danton(Gerard Depardieu),confronting against Robespierre(Wojciech...","itive

review: i"
5,2,"If like me, you enjoyed the first film ""Bruce Almighty"", my advice to you is not to get your hopes u...","ative

review: i"
5,2,"Well it might be a kid's movie...perhaps but i'm not gonna let my kids from 9 watch it!,so the one w...","ositive

review: i"
5,2,'Identity . . . . I am part of my surroundings and I became separate from them and it's being able ...,review: i
5,2,Master of Italian horror Dario Argento is called a lot of bad things by non-fans. And is deserving o...,"egative

review: i"
5,2,"...But not this one! I always wanted to know ""what happened"" next. We will never know for sure what ...","egative

review: i"
5,2,The most famous thing about this movie is that this was the first time Garbo talked in a motion pict...,"egative

review: i"
5,2,I was about 14 years old as I saw the musical version of Lost Horizon. I loved the film so much as w...,"ositive

review: i"
5,2,"""It's funny your worst nightmare always seems so far away!"" <br /><br />Dark Habour's characters, a ...","ositive

review: i"
5,2,A respectable royal rumble event<br /><br />1. Edge Vs Shawn Michaels<br /><br />7.5/10 A very stron...,review: i
5,2,No! no - No - NO! My entire being is revolting against this dreadful remake of a classic movie. I kn...,"egative

review: i"
5,2,"I came out of ""Dark Blue World"" feeling (sigh) 'so sad' yet it was definitely a film needed to be ma...","itive

review: i"
5,2,"For some inexplicable reason, Jerry's movies often seemed to come in for diatribes from certain quar...","ositive

review: i"
5,2,This movie is retarded a cheap movie that tries to be a stoner movie because the characters are look...,"egative

review: i"
5,2,"First of all,there is a detective story:""légitime défense"" by Belgian Stanislas André Steeman whose ...","tive

review: i"
5,2,Alfred Hitchcock invented any kind of thriller you could think of:he set the standards so high that ...,iew: i
5,2,Lackawana Blues An impressive HBO movie about a beautiful woman that made her house a home for sever...,"sitive

review: i"
5,2,"First of all, despite the low rating on this site, I saw something quite worthy in this film and wil...","ositive

review: i"
5,2,Excellent performance. There still are good actors around! Also great directing and photography. Ver...,"ositive

review: i"
5,2,"During production, this LWT series was titled 'Rocket To The Moon', a title that everyone on set at ...","gative

review: i"
5,2,The Karen Carpenter Story shows a little more about singer Karen Carpenter's complex life. Though it...,"egative

review: i"
5,2,Well I watch tons of movies and this one really sucked ... BIG TIME. I am sure we are all sick and t...,"egative

review: i"
5,2,Go to the video store and get the original. I do not understand why Hollywood has that need to take ...,"egative

review: i"
5,2,I bought the video for £13 at HMV (we pay more in Britain) as a friend had told me it was highly rat...,"tive

review: i"
5,2,"Perhaps it's just the format of this film, a documentary, but I believe that the movie would have be...","egative

review: i"
5,2,"Having been familiar with Hartley's ""The Go-Between"" for a good while, both in its original book for...","egative

review: i"
5,2,Firstly this has nothing to do with the much better 18 weapons of Kung Fu starring Gordon Liu. I men...,"egative

review: i"
5,2,"After Matt Dillon's phenomenal performance in CRASH, most will probably rush to pick up a copy of FA...","egative

review: i"
5,2,"This movie narrate the story of John Belushi,based of his biography `Wired' , wrote by Bob Woodward....","ive

review: i"
5,2,"""I am ... proud of 'Head',"" Mike Nesmith has said. He should be, because this film, which either has...","egative

review: i"
5,2,The make -or-break of a love story for me is whether or not I like the characters and also if they c...,"ative

review: i"
5,2,...scratch it. Just as African's created rhythms with the jawbone of an ass and Virgin Islanders wel...,"ositive

review: i"
5,2,"If you loved the early-60's version of ""The Time Machine"", don't waste your time; as with last year'...","egative

review: i"
5,2,"A truly remarkable film that takes you on a journey through your hidden emotions,a deep and enlighte...","ositive

review: i"
5,2,this movie is simply amazing.. unfortunately in Portugal not even a shadow of him... and i agree wit...,"sitive

review: i"
5,2,"No one would ever question that director Leos Carax is a genius, but what we wonder about is: is he ...","ositive

review: i"
5,2,"SPOILER ALERT.<br /><br />This movie will spoil your afternoon or ""wee small hours of the morning"" v...","egative

review: i"
5,2,Corny and some really bad acting but for a Golan-Globus film about right on par. Saw this movie back...,"egative

review: i"
5,2,...and normally i don't like surprises!! Watch this movie by chance in a motel in South Africa secon...,"ositive

review: i"
5,2,I'm surprised to read all the positive comments on this movie. Even my 4 and 6 year old were bored. ...,"egative

review: i"
5,2,"I don't know if I hate this movie as much as I did when I watched it two weeks ago, but if you're ex...","egative

review: i"
5,2,"The Bermuda Triangle ,we are told in this waste of celluloid, is the portal to another time and dime...","egative

review: i"
5,2,...that maybe someday people will wake up to. People who can resist the urge to separate each and ev...,"egative

review: i"
5,2,I am ashamed to admit in public that I even held the cover of this movie once! This is an absolute r...,"egative

review: i"
5,2,"At the least some of the sitcoms that churn endlessly out of the US are honestly bad. This junk, how...","gative

review: i"
5,2,"**Warning! Slight Plot Spoilers Ahead!**<br /><br />""The Italian Job"" is not the best movie you'll s...","ositive

review: i"
5,2,"Wow, Jeez, I don't even know where to begin commenting on this thing they called a movie. I seriousl...","egative

review: i"
5,2,"When I was a younger(oh about 2)I watched Barney for the first time, and liked it. BUT, back then I ...","egative

review: i"
5,2,I don't know what Chasidik movement was this film about?I saw this film a year ago.I am an Orthodox ...,review: i
5,2,"i was surprised after watching this piece of crap , if you have seen an episode of TOM and JERRY in ...","ative

review: i"
5,2,Why didn't critics like this movie?? I don't get it. This is easily my favorite Clive Barker effort....,"ositive

review: i"
5,2,"The horrific production doesn't qualify as a ""film."" It was obviously shot on video tape, and very p...","egative

review: i"
5,2,"I first seen this movie like a year and a half ago and I loved it, I decided to get the DVD last yea...","ositive

review: i"
5,2,Man! I remember this show with nostalgic... I really dug Bravestarr because he wasn't the convention...,"ositive

review: i"
5,2,...but you can see it from here.<br /><br />I definitely don't understand why anyone would recommend...,"egative

review: i"
5,2,Ever sense i was a kid i have loved this movie. i have always been a fan of Joseph Mazzello. the kid...,"ositive

review: i"
5,2,It's proof that movie makers and their financiers treating their audience with contempt isn't a new ...,iew: i
5,2,Trust the excellent and accurate Junagadh75 review! This film is compelling and moving in that rough...,"ositive

review: i"
5,2,"Oz is without a doubt my favorite show of all time! the best word to describe it is ""genius""! the wr...","ositive

review: i"
5,2,". . . and never, ever see it. Now, I've been watching bad scifi movies for years. I love watching ba...","ative

review: i"
5,2,"It's okay ... a few years later Chayefsky's classic ""Network"" will be his true cinematic BIG home ru...","gative

review: i"
5,2,"Don't forget the lover on the side!! She is a 'hottie', Karen Parsons is delicious, she is wonderful...","sitive

review: i"
5,2,A remake can be successful. An adaptation can be successful. It isn't relevant whether its a remake ...,"egative

review: i"
5,2,"Another winner from that 50s , 60s era that I love so much for the comedic value they give with each...",iew: i
5,2,"Do not watch this movie, go see something else ... I was very disappointed, I cannot rate this movie...","gative

review: i"
5,2,"I am a big fan of sci-fi movies. So, when I saw this movie in the EPG, I thought I was in for a plea...","ative

review: i"
5,2,"Seriously, I couldn't find anything that constituted a rational human thought in this movie. For som...","ative

review: i"
5,2,"Oh my gosh! this was one of the best Sci-fi movies i have ever seen, and quite frankly i can't stand...","ositive

review: i"
5,2,An annoying group of ex-students from 'Monte Alto International High School' decide to spend a night...,"egative

review: i"
5,2,Laughed my ass off but probably because I was stoned. That aside ... this is in no way a horror movi...,"egative

review: i"
5,2,"I was attracted to this film by its offbeat, low-key, 'real life' story line. That is, a twenty-some...","egative

review: i"
5,2,Legendary Cameron Mitchell turkey about an actor/makeup man who is burned by the head of a studio wh...,"egative

review: i"
5,2,Otto Preminger was one of the great maverick film directors.Like John Huston he was a character from...,"tive

review: i"
5,2,Somewhere in the dark recesses of my brain cells a song plays in my head. I can't forget it no matte...,"ative

review: i"
10,2,This film was my first acquaintance with the talents of Chris Cooper. I was deeply impressed with th...,"ositive

review: i"
10,2,"Ok let's start with saying that when a dutch movie is bad, it's REALLY BAD. Rarely something with a ...","egative

review: i"
10,2,The Brave One is about a New York radio show host named Erica Bain (Jodie Foster). Her life is a dre...,"egative

review: i"
